game_pk,game_date,player_name,first_pitch_result,final_event,is_hit,is_walk,is_homerun,is_strikeout,is_out
745114,2024-04-03,"Eovaldi, Nathan",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745603,2024-04-03,"Montas, Frankie",Ball,walk,FALSE,TRUE,FALSE,FALSE,FALSE
746163,2024-04-03,"Glasnow, Tyler",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
747059,2024-04-03,"Burnes, Corbin",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746407,2024-04-03,"Javier, Cristian",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745114,2024-04-03,"Eovaldi, Nathan",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745440,2024-04-03,"Thompson, Zack",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746407,2024-04-03,"Bassitt, Chris",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745603,2024-04-03,"Montas, Frankie",Strike,walk,FALSE,TRUE,FALSE,FALSE,FALSE
746163,2024-04-03,"Glasnow, Tyler",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745275,2024-04-03,"Allen, Logan",Ball,walk,FALSE,TRUE,FALSE,FALSE,FALSE
744869,2024-04-03,"Williams, Trevor",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746407,2024-04-03,"Bassitt, Chris",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
747059,2024-04-03,"Burnes, Corbin",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745440,2024-04-03,"Thompson, Zack",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745678,2024-04-03,"Pivetta, Nick",Ball,grounded_into_double_play,FALSE,FALSE,FALSE,FALSE,TRUE
745603,2024-04-03,"Wheeler, Zack",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746407,2024-04-03,"Javier, Cristian",Ball,walk,FALSE,TRUE,FALSE,FALSE,FALSE
747059,2024-04-03,"Ragans, Cole",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
747219,2024-04-03,"Rodón, Carlos",Strike,walk,FALSE,TRUE,FALSE,FALSE,FALSE
747219,2024-04-03,"Kelly, Merrill",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
744869,2024-04-03,"Williams, Trevor",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
747219,2024-04-03,"Kelly, Merrill",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746083,2024-04-03,"Sandoval, Patrick",Strike,walk,FALSE,TRUE,FALSE,FALSE,FALSE
745603,2024-04-03,"Wheeler, Zack",Ball,double,TRUE,FALSE,FALSE,FALSE,FALSE
745114,2024-04-03,"Eovaldi, Nathan",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745603,2024-04-03,"Montas, Frankie",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
745440,2024-04-03,"Thompson, Zack",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745678,2024-04-03,"Stripling, Ross",Strike,grounded_into_double_play,FALSE,FALSE,FALSE,FALSE,TRUE
745603,2024-04-03,"Wheeler, Zack",Strike,double,TRUE,FALSE,FALSE,FALSE,FALSE
745275,2024-04-03,"Allen, Logan",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746407,2024-04-03,"Javier, Cristian",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745114,2024-04-03,"Civale, Aaron",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746163,2024-04-03,"Glasnow, Tyler",Ball,single,TRUE,FALSE,FALSE,FALSE,FALSE
747219,2024-04-03,"Rodón, Carlos",Ball,double,TRUE,FALSE,FALSE,FALSE,FALSE
744869,2024-04-03,"Williams, Trevor",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745440,2024-04-03,"Musgrove, Joe",Ball,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
746083,2024-04-03,"Puk, A. J.",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
747059,2024-04-03,"Burnes, Corbin",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746900,2024-04-03,"Quantrill, Cal",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746407,2024-04-03,"Bassitt, Chris",Strike,walk,FALSE,TRUE,FALSE,FALSE,FALSE
745440,2024-04-03,"Thompson, Zack",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746083,2024-04-03,"Sandoval, Patrick",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
745678,2024-04-03,"Pivetta, Nick",Ball,single,TRUE,FALSE,FALSE,FALSE,FALSE
745678,2024-04-03,"Stripling, Ross",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
746163,2024-04-03,"Harrison, Kyle",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
744869,2024-04-03,"Keller, Mitch",Strike,double,TRUE,FALSE,FALSE,FALSE,FALSE
745603,2024-04-03,"Montas, Frankie",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
744869,2024-04-03,"Keller, Mitch",Strike,double,TRUE,FALSE,FALSE,FALSE,FALSE
745114,2024-04-03,"Eovaldi, Nathan",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746407,2024-04-03,"Bassitt, Chris",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745440,2024-04-03,"Musgrove, Joe",Strike,hit_by_pitch,FALSE,FALSE,FALSE,FALSE,FALSE
745678,2024-04-03,"Pivetta, Nick",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
746083,2024-04-03,"Sandoval, Patrick",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746163,2024-04-03,"Glasnow, Tyler",Ball,double,TRUE,FALSE,FALSE,FALSE,FALSE
747219,2024-04-03,"Kelly, Merrill",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
746008,2024-04-03,"Paddack, Chris",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745114,2024-04-03,"Civale, Aaron",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745603,2024-04-03,"Wheeler, Zack",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
747059,2024-04-03,"Ragans, Cole",Ball,walk,FALSE,TRUE,FALSE,FALSE,FALSE
745114,2024-04-03,"Eovaldi, Nathan",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745114,2024-04-03,"Civale, Aaron",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745440,2024-04-03,"Musgrove, Joe",Strike,single,TRUE,FALSE,FALSE,FALSE,FALSE
745603,2024-04-03,"Montas, Frankie",Strike,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
744869,2024-04-03,"Keller, Mitch",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
745440,2024-04-03,"Thompson, Zack",Ball,walk,FALSE,TRUE,FALSE,FALSE,FALSE
746163,2024-04-03,"Harrison, Kyle",Ball,grounded_into_double_play,FALSE,FALSE,FALSE,FALSE,TRUE
745678,2024-04-03,"Stripling, Ross",Ball,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
747219,2024-04-03,"Rodón, Carlos",Ball,strikeout,FALSE,FALSE,FALSE,TRUE,TRUE
745114,2024-04-03,"Eovaldi, Nathan",Strike,field_out,FALSE,FALSE,FALSE,FALSE,TRUE
